store_desc,store_desc1,address,coor_x,coor_y
上海市宝山区海底捞火锅(罗店宝龙广场店),上海市宝山区海底捞火锅(罗店宝龙广场店),上海市宝山区杨南路2211号罗店宝龙广场F4,121.365464,31.394544
上海市嘉定区海底捞火锅(城北路店),上海市嘉定区海底捞火锅(城北路店),上海市嘉定区城北路358号日月光中心4层25~37号商铺,121.244845,31.396116
上海市崇明区海底捞火锅(崇明万达广场店),上海市崇明区海底捞火锅(崇明万达广场店),上海市崇明区城桥镇崇明大道8388号万达广场F3,121.423409,31.632977
上海市松江区海底捞火锅(五龙广场店),上海市松江区海底捞火锅(五龙广场店),上海市松江区光星路1399号五龙广场二层,121.247116,31.06234
上海市松江区海底捞火锅(新松江路店),上海市松江区海底捞火锅(新松江路店),上海市松江区新松江路1255弄1-10号东鼎购物中心F2,121.21815,31.044415
上海市松江区海底捞火锅(中山中路店),上海市松江区海底捞火锅(中山中路店),上海市松江区中山中路71号平高世贸中心5楼501-508号铺,121.241593,31.012464
上海市闵行区海底捞火锅(龙盛广场店),上海市闵行区海底捞火锅(龙盛广场店),上海市闵行区都市路3759号龙盛国际商业广场F3,121.405585,31.090439
上海市松江区海底捞火锅(莘松路店),上海市松江区海底捞火锅(莘松路店),上海市松江区莘松路1266号亚繁亚乐城F5,121.356437,31.103241
上海市闵行区海底捞火锅(满天星广场店),上海市闵行区海底捞火锅(满天星广场店),闵行区莲花南路3999号满天星广场1-2楼,121.450816,31.044754
上海市闵行区海底捞火锅(银春路店),上海市闵行区海底捞火锅(银春路店),上海市闵行区马桥镇银春路2282号5号楼2层203室,121.391647,31.030398
上海市嘉定区海底捞火锅(江桥万达店),上海市嘉定区海底捞火锅(江桥万达店),上海市嘉定区金沙江西路1051弄万达广场F4,121.331799,31.246782
